epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1364.35,1.66802,1.79021,0.01965,0.42569,0.39313,0.34135,0.15421,1.80192,2.0535,0.02606,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
31,1406.89,1.66031,1.77359,0.01984,0.44564,0.42354,0.3604,0.1509,1.78847,2.04922,0.02603,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
32,1450.98,1.65314,1.72159,0.01959,0.46708,0.40156,0.35669,0.15163,1.81394,2.09624,0.02583,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
33,1494.28,1.66646,1.75336,0.01968,0.46765,0.39506,0.37134,0.16411,1.7811,2.00049,0.02589,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
34,1536.47,1.64643,1.7229,0.01915,0.44258,0.37414,0.34422,0.15216,1.79295,2.06404,0.02597,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
35,1579.67,1.64022,1.72147,0.01948,0.48165,0.37394,0.3559,0.1604,1.78459,2.00967,0.02546,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
36,1623.26,1.63803,1.70243,0.01917,0.47352,0.37897,0.35574,0.15734,1.80166,2.09286,0.02577,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
37,1664.73,1.64829,1.69713,0.01964,0.46033,0.39369,0.36052,0.15856,1.79311,2.10181,0.02579,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
38,1707.42,1.62397,1.69462,0.01884,0.44016,0.4111,0.37389,0.15986,1.85163,2.00564,0.02675,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
39,1751.4,1.6316,1.6778,0.01935,0.4426,0.40645,0.35221,0.15322,1.83776,2.00562,0.02676,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
40,1795.1,1.62022,1.67325,0.01932,0.44778,0.43872,0.35936,0.15555,1.79226,2.03529,0.02612,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
41,1838.4,1.60955,1.64077,0.01892,0.42757,0.4136,0.35437,0.15579,1.79778,2.03586,0.02609,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
42,1881.84,1.62651,1.63917,0.01913,0.45156,0.39544,0.36907,0.1616,1.8271,2.03925,0.0266,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
43,1926.28,1.62197,1.61391,0.01916,0.43762,0.3896,0.37207,0.16497,1.79334,2.00386,0.02605,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368
44,1969.77,1.60915,1.62283,0.01911,0.42826,0.39531,0.35292,0.16013,1.79141,2.08922,0.02595,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972
45,2012.07,1.61216,1.62864,0.01913,0.44572,0.41122,0.3631,0.15993,1.76363,2.04753,0.02553,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576
46,2055.24,1.60704,1.60204,0.01867,0.44472,0.41625,0.36489,0.16371,1.76218,2.01609,0.0256,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
47,2099.73,1.59211,1.57604,0.01874,0.43229,0.40611,0.35592,0.16059,1.78067,2.04199,0.02546,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784
48,2143.28,1.59446,1.59167,0.01847,0.486,0.40532,0.35491,0.1563,1.76916,2.0363,0.02543,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388
49,2187.02,1.587,1.53689,0.01834,0.50365,0.36858,0.35385,0.15371,1.80162,1.98995,0.02623,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992
50,2230.34,1.58342,1.53198,0.01857,0.45623,0.44144,0.37261,0.16164,1.81177,1.97539,0.02632,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596
51,2273.92,1.59738,1.55707,0.0186,0.42713,0.42599,0.35695,0.15881,1.77892,2.03763,0.02589,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
52,2317.64,1.5847,1.52838,0.01848,0.42463,0.41142,0.36147,0.1611,1.77513,2.0129,0.02587,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804
53,2360.98,1.58565,1.5231,0.01836,0.47185,0.40973,0.36814,0.16049,1.80069,2.01082,0.02616,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408
54,2403.43,1.58355,1.50027,0.01865,0.44757,0.40171,0.35894,0.16391,1.77337,1.98797,0.02567,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012
55,2444.88,1.56161,1.4859,0.01821,0.40476,0.41564,0.36011,0.15985,1.77994,2.00033,0.02569,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616
56,2488.04,1.55781,1.49387,0.01804,0.46238,0.42243,0.37521,0.16557,1.79305,2.00159,0.02603,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
57,2537.2,1.56333,1.49802,0.01835,0.4815,0.37272,0.3445,0.15358,1.78537,2.02894,0.02576,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824
58,2591.66,1.56254,1.48465,0.01805,0.44732,0.41521,0.36027,0.15643,1.7987,1.97414,0.02613,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428
59,2643.04,1.5542,1.4816,0.01805,0.47719,0.39478,0.37911,0.16847,1.77657,1.9988,0.02562,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032
