epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,5752.88,1.58093,1.44559,0.02007,0.70869,0.50959,0.57552,0.35251,1.55025,1.59794,0.02403,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
31,5939.37,1.59129,1.44009,0.02015,0.67484,0.52078,0.57864,0.3522,1.5436,1.60582,0.02383,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
32,6123.71,1.58618,1.42315,0.02019,0.69459,0.52095,0.57984,0.3547,1.54171,1.61208,0.02376,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
33,6304.84,1.58757,1.41143,0.02001,0.69575,0.52999,0.58458,0.35545,1.54653,1.59726,0.02389,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
34,6487.87,1.57698,1.41025,0.02004,0.69765,0.52895,0.58753,0.35755,1.54247,1.5991,0.02381,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
35,6670.42,1.57799,1.3943,0.02007,0.68746,0.53214,0.5879,0.35869,1.53953,1.58996,0.02381,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
36,6852.35,1.57564,1.39169,0.01986,0.68789,0.52752,0.58866,0.35988,1.53816,1.58581,0.02377,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
37,7035.41,1.57748,1.38026,0.02,0.6789,0.5297,0.58877,0.36031,1.53447,1.59165,0.02373,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
38,7220.9,1.57718,1.36318,0.01996,0.67802,0.53019,0.58831,0.35997,1.52718,1.59879,0.02353,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
39,7404.42,1.57022,1.38204,0.0199,0.69023,0.52924,0.58882,0.36085,1.52378,1.60041,0.02346,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
40,7586.93,1.57227,1.35714,0.0199,0.68912,0.53122,0.59333,0.36394,1.52072,1.59522,0.02341,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
41,7773.53,1.56273,1.35244,0.01955,0.69317,0.5277,0.59365,0.36411,1.5131,1.6029,0.02323,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
42,7956.06,1.55963,1.3703,0.01968,0.68267,0.53648,0.59119,0.36247,1.50936,1.60985,0.02315,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
43,8140.56,1.5679,1.35035,0.01968,0.70111,0.531,0.59146,0.36225,1.51296,1.60502,0.02323,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368
44,8323.65,1.55609,1.34759,0.01973,0.70865,0.52918,0.58997,0.36216,1.51176,1.60885,0.0232,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972
45,8507.39,1.54397,1.34323,0.01948,0.70669,0.53577,0.59204,0.36299,1.51361,1.60022,0.02328,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576
46,8690.27,1.55529,1.33164,0.01969,0.70935,0.5311,0.59255,0.36428,1.50997,1.60275,0.02317,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
47,8872.37,1.55604,1.33145,0.01962,0.70528,0.53443,0.59173,0.36511,1.50822,1.60449,0.02311,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784
